TUMOURICDSITE3CODE,OPCSRESECTIONCODE
C31,F011
C31,F018
C31,F021
C31,F042
C31,F202
C31,F221
C31,F222
C31,F231
C31,F281
C31,F301
C31,F303
C31,F304
C31,F305
C31,F324
C31,F328
C31,F349
C31,F381
C31,F382
C31,F391
C31,F392
C31,F441
C31,F442
C31,F443
C31,F444
C31,F451
C31,G021
C31,G032
C31,S171
C31,S208
C31,S248
C31,S288
C31,S353
C31,T851
C31,V061
C31,V068
C31,V069
C31,V141
C31,V142
C31,V143
C31,V144
C31,V149
C31,V168
C31,V191
C31,Y051
C31,Y592
C31,Y598
C31,Y612
C31,Y631
C31,Y638
C31,Y662
C32,E191
C32,E192
C32,E214
C32,E231
C32,E242
C32,E291
C32,E292
C32,E293
C32,E294
C32,E295
C32,E296
C32,E299
C32,E301
C32,E341
C32,E342
C32,E343
C32,E352
C32,E414
C32,F011
C32,F018
C32,F021
C32,F042
C32,F202
C32,F221
C32,F222
C32,F231
C32,F281
C32,F301
C32,F303
C32,F304
C32,F305
C32,F324
C32,F328
C32,F349
C32,F381
C32,F382
C32,F391
C32,F392
C32,F441
C32,F442
C32,F443
C32,F444
C32,F451
C32,G021
C32,G032
C32,S171
C32,S208
C32,S248
C32,S288
C32,S353
C32,T851
C32,V061
C32,V068
C32,V069
C32,V141
C32,V142
C32,V143
C32,V144
C32,V149
C32,V168
C32,V191
C32,Y051
C32,Y592
C32,Y598
C32,Y612
C32,Y631
C32,Y638
C32,Y662
C33,E391
C33,E398
C33,E399
C33,E438
C33,E441
C33,E461
C33,E463
C33,E468
C33,E541
C33,E542
C33,E543
C33,E544
C33,E545
C33,E548
C33,E549
C33,E552
C33,E554
C33,E558
C33,E559
C33,T011
C33,T012
C33,T013
C33,T018
C33,T019
C33,T023
C34,E391
C34,E398
C34,E399
C34,E438
C34,E441
C34,E461
C34,E463
C34,E468
C34,E541
C34,E542
C34,E543
C34,E544
C34,E545
C34,E548
C34,E549
C34,E552
C34,E554
C34,E558
C34,E559
C34,T011
C34,T012
C34,T013
C34,T018
C34,T019
C34,T023
C48OVARY,H331
C48OVARY,H332
C48OVARY,H333
C48OVARY,H334
C48OVARY,H335
C48OVARY,H336
C48OVARY,H337
C48OVARY,H338
C48OVARY,H339
C48OVARY,Q071
